fr;vi;Class;Ranking
capable;có thể;adjectif / tính từ;935
souffrance;đau khổ;nom / danh từ;936
marquer;đánh dấu;verbe / động từ;937
prouver;chứng minh;verbe / động từ;938
importer;nhập khẩu;verbe / động từ;939
titre;tiêu đề;nom / danh từ;940
désert;sa mạc;nom / danh từ;941
facile;dễ;adjectif / tính từ;942
spectacle;trình diễn;nom / danh từ;943
exiger;yêu cầu;verbe / động từ;944
reposer;để nghỉ ngơi;verbe / động từ;945
départ;sự khởi hành;nom / danh từ;946
fier;tự hào;adjectif / tính từ;947
danser;để nhảy múa;verbe / động từ;948
demande;lời yêu cầu;nom / danh từ;949
saluer;chào hỏi;verbe / động từ;950
lueur;ánh sáng;nom / danh từ;951
joue;vở kịch;nom / danh từ;952
saint;thánh;adjectif / tính từ;953
accorder;đồng ý;verbe / động từ;954
prière;lời cầu nguyện;nom / danh từ;955
achever;hoàn thành;verbe / động từ;956
avouer;thú nhận với;verbe / động từ;957
distinguer;phân biệt;verbe / động từ;958
emmener;mua mang về;verbe / động từ;959
fonction;chức năng;nom / danh từ;960
haut;cao;adverbe / trạng từ;961
aspect;vẻ bề ngoài;nom / danh từ;962
sommeil;ngủ;nom / danh từ;963
éclat;ánh sáng;nom / danh từ;964
moitié;một nửa;nom / danh từ;965
demi;một nửa;adjectif / tính từ;966
calme;điềm tĩnh;adjectif / tính từ;967
contraire;đối diện;nom / danh từ;968
colline;đồi;nom / danh từ;969
agiter;lắc;verbe / động từ;970
hésiter;do dự;verbe / động từ;971
terrain;đất;nom / danh từ;972
rare;hiếm;adjectif / tính từ;973
poids;cân nặng;nom / danh từ;974
sonner;nhẫn;verbe / động từ;975
changement;thay đổi;nom / danh từ;976
charge;thù lao;nom / danh từ;977
davantage;bất kỳ thêm nữa;adverbe / trạng từ;978
composer;sáng tác;verbe / động từ;979
enlever;để loại bỏ;verbe / động từ;980
poche;kho;nom / danh từ;981
rejoindre;tham gia;verbe / động từ;982
son;cô ấy;nom / danh từ;983
intérieur;nội thất;adjectif / tính từ;984
veille;ngày hôm trước;nom / danh từ;985
ramener;để mang trở lại;verbe / động từ;986
fruit;hoa quả;nom / danh từ;987
complet;hoàn thành;adjectif / tính từ;988
étudier;để học tập;verbe / động từ;989
partager;chia sẻ;verbe / động từ;990
croix;đi qua;nom / danh từ;991
suivant;tiếp theo;adjectif / tính từ;992
chasser;săn bắn;verbe / động từ;993
interrompre;ngắt;verbe / động từ;994
éloigner;di chuyển đi;verbe / động từ;995
trésor;kho báu;nom / danh từ;996
compagnie;công ty;nom / danh từ;997
étroit;chật hẹp;adjectif / tính từ;998
cuisine;phòng bếp;nom / danh từ;999
réduire;giảm bớt;verbe / động từ;1000
égal;bình đẳng;adjectif / tính từ;1001
empire;đế chế;nom / danh từ;1002
nation;Quốc gia;nom / danh từ;1003
éteindre;tắt;verbe / động từ;1004
recommencer;bắt đầu lại;verbe / động từ;1005
sauter;nhảy;verbe / động từ;1006
plaindre;phàn nàn;verbe / động từ;1007
conversation;cuộc hội thoại;nom / danh từ;1008
soirée;buổi tối;nom / danh từ;1009
violent;hung bạo;adjectif / tính từ;1010
impression;ấn tượng;nom / danh từ;1011
trait;đường kẻ;nom / danh từ;1012
devant;phía trước;adverbe / trạng từ;1013
préférer;thích hơn;verbe / động từ;1014
révéler;tiết lộ;verbe / động từ;1015
magnifique;Tuyệt vời;adjectif / tính từ;1016
désespoir;tuyệt vọng;nom / danh từ;1017
témoin;nhân chứng;nom / danh từ;1018
visite;thăm nom;nom / danh từ;1019
respect;sự tôn trọng;nom / danh từ;1020
solitude;sự cô đơn;nom / danh từ;1021
subir;trải qua;verbe / động từ;1022
delà;vượt ra;adverbe / trạng từ;1023
prochain;Kế tiếp;adjectif / tính từ;1024
anglais;Tiếng Anh;nom / danh từ;1025
rapporter;báo cáo;verbe / động từ;1026
coûter;trị giá;verbe / động từ;1027
réfléchir;để suy ngẫm về;verbe / động từ;1028
officier;sĩ quan;nom / danh từ;1029
remercier;cám ơn;verbe / động từ;1030
déposer;tiền gửi;verbe / động từ;1031
fauteuil;ghế bành;nom / danh từ;1032
fumer;hút thuốc;verbe / động từ;1033
tôt;sớm;adverbe / trạng từ;1034
affirmer;khẳng định;verbe / động từ;1035
relation;mối quan hệ;nom / danh từ;1036
fumée;khói;nom / danh từ;1037
convenir;đồng ý;verbe / động từ;1038
branche;chi nhánh;nom / danh từ;1039
malade;đau ốm;adjectif / tính từ;1040
circonstance;hoàn cảnh;nom / danh từ;1041
ouvrage;công việc;nom / danh từ;1042
compagnon;bạn đồng hành;nom / danh từ;1043
vêtir;quần áo;verbe / động từ;1044
expérience;kinh nghiệm;nom / danh từ;1045
port;cảng;nom / danh từ;1046
accomplir;hoàn thành;verbe / động từ;1047
avec;với;adverbe / trạng từ;1048
résoudre;gỡ rối;verbe / động từ;1049
plonger;lặn;verbe / động từ;1050
goutte;làm rơi;nom / danh từ;1051
chant;hát;nom / danh từ;1052
détruire;hủy hoại;verbe / động từ;1053
combat;trận đánh;nom / danh từ;1054
personnage;tính cách;nom / danh từ;1055
aventure;cuộc phiêu lưu;nom / danh từ;1056
intéresser;quan tâm;verbe / động từ;1057
disposer;xử lý;verbe / động từ;1058
absence;vắng mặt;nom / danh từ;1059
machine;máy móc;nom / danh từ;1060
chaîne;xích;nom / danh từ;1061
honte;nỗi tủi nhục;nom / danh từ;1062
fait;LÀM;adjectif / tính từ;1063
lisser;trơn tru;verbe / động từ;1064
faim;đói;nom / danh từ;1065
plaine;đơn giản;nom / danh từ;1066
verser;đổ;verbe / động từ;1067
pointe;điểm;nom / danh từ;1068
obéir;tuân theo;verbe / động từ;1069
preuve;chứng cớ;nom / danh từ;1070
éternel;vĩnh cửu;adjectif / tính từ;1071
lutter;đấu tranh chống lại;verbe / động từ;1072
prétendre;giả vờ;verbe / động từ;1073
bataille;trận đánh;nom / danh từ;1074
construire;xây dựng;verbe / động từ;1075
énergie;năng lượng;nom / danh từ;1076
victime;nạn nhân;nom / danh từ;1077
sauvage;độc ác;adjectif / tính từ;1078
soumettre;nộp;verbe / động từ;1079
usage;sử dụng;nom / danh từ;1080
peser;cân;verbe / động từ;1081
double;gấp đôi;adjectif / tính từ;1082
tache;vết bẩn;nom / danh từ;1083
guère;khắc nghiệt;adverbe / trạng từ;1084
hauteur;chiều cao;nom / danh từ;1085
troubler;đáng lo ngại;verbe / động từ;1086
tendre;mềm;adjectif / tính từ;1087
beau;xinh đẹp;nom / danh từ;1088
curiosité;sự tò mò;nom / danh từ;1089
répandre;lây lan;verbe / động từ;1090
glace;đá;nom / danh từ;1091
résister;kháng cự;verbe / động từ;1092
froid;lạnh lẽo;nom / danh từ;1093
prison;nhà tù;nom / danh từ;1094
étage;sàn nhà;nom / danh từ;1095
billet;vé;nom / danh từ;1096
droit;Phải;adjectif / tính từ;1097
sérieux;nghiêm trọng;adjectif / tính từ;1098
protéger;bảo vệ;verbe / động từ;1099
pauvre;nghèo;nom / danh từ;1100
rose;hồng;nom / danh từ;1101
enfermer;khóa;verbe / động từ;1102
attitude;thái độ;nom / danh từ;1103
dur;cứng;adjectif / tính từ;1104
mode;thời trang;nom / danh từ;1105
neuf;chín;adjectif / tính từ;1106
crainte;nỗi sợ;nom / danh từ;1107
creuser;đào;verbe / động từ;1108
grandir;để phát triển;verbe / động từ;1109
enfoncer;đẩy vào;verbe / động từ;1110
vêtement;quần áo;nom / danh từ;1111
envelopper;bọc;verbe / động từ;1112
vague;sóng;adjectif / tính từ;1113
prévenir;ngăn chặn;verbe / động từ;1114
violence;bạo lực;nom / danh từ;1115
inspirer;truyền cảm hứng;verbe / động từ;1116
inutile;vô ích;adjectif / tính từ;1117
content;vô cùng vui mừng;adjectif / tính từ;1118
courant;thông thạo;nom / danh từ;1119
folie;điên rồ;nom / danh từ;1120
pitié;lòng thương xót;nom / danh từ;1121
intention;chủ đích;nom / danh từ;1122
ramasser;nhặt lên;verbe / động từ;1123
endormir;cho ngủ;verbe / động từ;1124
inventer;phát minh;verbe / động từ;1125
trace;dấu vết;nom / danh từ;1126
toile;vải;nom / danh từ;1127
presser;vắt kiệt;verbe / động từ;1128
confier;ủy thác;verbe / động từ;1129
effacer;để xóa;verbe / động từ;1130
reculer;để quay trở lại;verbe / động từ;1131
user;người dùng;verbe / động từ;1132
blanc;trắng;nom / danh từ;1133
nourrir;để cho ăn;verbe / động từ;1134
dangereux;nguy hiểm;adjectif / tính từ;1135
poésie;thơ;nom / danh từ;1136
sommet;hội nghị thượng đỉnh;nom / danh từ;1137
remplacer;thay thế;verbe / động từ;1138
souhaiter;ước muốn;verbe / động từ;1139
avance;nâng cao;nom / danh từ;1140
autorité;thẩm quyền;nom / danh từ;1141
épais;dày;adjectif / tính từ;1142
inquiétude;lo lắng;nom / danh từ;1143
choix;sự lựa chọn;nom / danh từ;1144
tombe;ngã;nom / danh từ;1145
marchand;thương nhân;nom / danh từ;1146
nombreux;nhiều;adjectif / tính từ;1147
muet;tắt tiếng;adjectif / tính từ;1148
signer;dấu hiệu;verbe / động từ;1149
absolument;tuyệt đối;adverbe / trạng từ;1150
cercle;vòng tròn;nom / danh từ;1151
interroger;câu hỏi;verbe / động từ;1152
dominer;thống trị;verbe / động từ;1153
défaut;mặc định;nom / danh từ;1154
enfance;thời thơ ấu;nom / danh từ;1155
faveur;sự ưu ái;nom / danh từ;1156
réel;thực tế;adjectif / tính từ;1157
commander;đặt hàng;verbe / động từ;1158
supposer;cho rằng;verbe / động từ;1159
dépasser;quá;verbe / động từ;1160
sourd;điếc;adjectif / tính từ;1161
cruel;tàn nhẫn;adjectif / tính từ;1162
dimanche;Chủ nhật;nom / danh từ;1163
erreur;lỗi;nom / danh từ;1164
cerveau;não;nom / danh từ;1165
accuser;buộc tội;verbe / động từ;1166
arrivée;đến;nom / danh từ;1167
rapidement;nhanh;adverbe / trạng từ;1168
vol;chuyến bay;nom / danh từ;1169
habiller;đầm;verbe / động từ;1170
condamner;lên án;verbe / động từ;1171
lors;trong lúc;adverbe / trạng từ;1172
menacer;hăm dọa;verbe / động từ;1173
seuil;ngưỡng;nom / danh từ;1174
écraser;người mình thích;verbe / động từ;1175
perte;sự mất mát;nom / danh từ;1176
troisième;thứ ba;adjectif / tính từ;1177
chance;cơ hội;nom / danh từ;1178
vieil;cũ;adjectif / tính từ;1179
céder;để bán;verbe / động từ;1180
douceur;kẹo;nom / danh từ;1181
droite;PHẢI;adjectif / tính từ;1182
vide;trống;nom / danh từ;1183
autrement;nếu không thì;adverbe / trạng từ;1184
drôle;buồn cười;adjectif / tính từ;1185
ruine;sự đổ nát;nom / danh từ;1186
écarter;loại trừ;verbe / động từ;1187
rang;thứ hạng;nom / danh từ;1188
réclamer;khẳng định;verbe / động từ;1189
chiffre;nhân vật;nom / danh từ;1190
voisin;hàng xóm;adjectif / tính từ;1191
militaire;quân đội;adjectif / tính từ;1192
roche;đá;nom / danh từ;1193
distance;khoảng cách;nom / danh từ;1194
apparence;vẻ bề ngoài;nom / danh từ;1195
dessiner;vẽ tranh;verbe / động từ;1196
conclure;kết luận;verbe / động từ;1197
françois;François;nom / danh từ;1198
lier;liên kết;verbe / động từ;1199
discussion;cuộc thảo luận;nom / danh từ;1200
admettre;thừa nhận;verbe / động từ;1201
banc;ghế dài;nom / danh từ;1202
terreur;khủng bố;nom / danh từ;1203
attaquer;giải quyết;verbe / động từ;1204
vers;đối với;nom / danh từ;1205
respecter;sự tôn trọng;verbe / động từ;1206
rose;hồng;adjectif / tính từ;1207
silencieux;im lặng;adjectif / tính từ;1208
anglais;Tiếng Anh;adjectif / tính từ;1209
course;loài;nom / danh từ;1210
portier;người khuân vác;nom / danh từ;1211
chat;con mèo;nom / danh từ;1212
pendre;treo;verbe / động từ;1213
supporter;ủng hộ;verbe / động từ;1214
tempête;bão;nom / danh từ;1215
parfaitement;hoàn hảo;adverbe / trạng từ;1216
paysage;phong cảnh;nom / danh từ;1217
quart;một phần tư;nom / danh từ;1218
figurer;nhân vật;verbe / động từ;1219
profiter;thưởng thức;verbe / động từ;1220
accrocher;treo;verbe / động từ;1221
calmer;điềm tĩnh;verbe / động từ;1222
satisfaire;thỏa mãn;verbe / động từ;1223
public;khán giả;nom / danh từ;1224
race;giống;nom / danh từ;1225
valoir;đáng giá;verbe / động từ;1226
barbe;râu;nom / danh từ;1227
signifier;nghĩa là;verbe / động từ;1228
couche;lớp;nom / danh từ;1229
inquiéter;lo lắng;verbe / động từ;1230
colon;đại tràng;nom / danh từ;1231
désormais;Từ bây giờ trở đi;adverbe / trạng từ;1232
fidèle;trung thành;adjectif / tính từ;1233
assister;để hỗ trợ;verbe / động từ;1234
rideau;tấm màn;nom / danh từ;1235
inviter;mời;verbe / động từ;1236
déchirer;xé;verbe / động từ;1237
fatigue;Mệt mỏi;nom / danh từ;1238
risquer;rủi ro;verbe / động từ;1239
règle;cái thước kẻ;nom / danh từ;1240
gauche;BÊN TRÁI;adjectif / tính từ;1241
parcourir;duyệt;verbe / động từ;1242
présent;đây;adjectif / tính từ;1243
rejeter;miễn nhiệm;verbe / động từ;1244
naissance;sinh;nom / danh từ;1245
loup;sói;nom / danh từ;1246
renoncer;bỏ cuộc;verbe / động từ;1247
complètement;hoàn toàn;adverbe / trạng từ;1248
extraordinaire;đặc biệt;adjectif / tính từ;1249
veiller;đồng hồ;verbe / động từ;1250
transformer;biến đổi;verbe / động từ;1251
tracer;dấu vết;verbe / động từ;1252
chute;ngã;nom / danh từ;1253
divers;linh tinh;adjectif / tính từ;1254
résistance;sức chống cự;nom / danh từ;1255
contenter;để đáp ứng;verbe / động từ;1256
chemise;áo sơ mi;nom / danh từ;1257
mince;gầy;adjectif / tính từ;1258
naturellement;tự nhiên;adverbe / trạng từ;1259
siège;ghế;nom / danh từ;1260
égal;như;nom / danh từ;1261
patron;ông chủ;nom / danh từ;1262
calme;điềm tĩnh;nom / danh từ;1263
mériter;xứng đáng;verbe / động từ;1264
printemps;mùa xuân;nom / danh từ;1265
angoisse;đau khổ;nom / danh từ;1266
précipiter;kết tủa;verbe / động từ;1267
rompre;phá vỡ;verbe / động từ;1268
habitant;cư dân;nom / danh từ;1269
caresser;vuốt ve;verbe / động từ;1270
métier;công việc;nom / danh từ;1271
étouffer;kìm hãm;verbe / động từ;1272
animer;hoạt hình;verbe / động từ;1273
note;ghi chú;nom / danh từ;1274
passé;vượt qua;adjectif / tính từ;1275
fine;khỏe;adjectif / tính từ;1276
fixe;đã sửa;adjectif / tính từ;1277
casser;để phá vỡ;verbe / động từ;1278
fusil;súng;nom / danh từ;1279
rond;tròn;adjectif / tính từ;1280
agent;đại lý;nom / danh từ;1281
fonder;thành lập;verbe / động từ;1282
roman;cuốn tiểu thuyết;nom / danh từ;1283
franchir;đi qua;verbe / động từ;1284
plante;thực vật;nom / danh từ;1285
abattre;rơi;verbe / động từ;1286
discuter;bàn luận;verbe / động từ;1287
fatiguer;mệt;verbe / động từ;1288
humide;ẩm ướt;adjectif / tính từ;1289
réflexion;sự phản xạ;nom / danh từ;1290
consentir;bằng lòng;verbe / động từ;1291
accent;giọng;nom / danh từ;1292
curieux;tò mò;adjectif / tính từ;1293
repas;bữa ăn;nom / danh từ;1294
étendue;mức độ;nom / danh từ;1295
regretter;hối tiếc;verbe / động từ;1296
joindre;tham gia;verbe / động từ;1297
profondément;sâu sắc;adverbe / trạng từ;1298
secours;giải thoát;nom / danh từ;1299
commencement;bắt đầu;nom / danh từ;1300
corde;dây thừng;nom / danh từ;1301
secrétaire;thư ký;nom / danh từ;1302
vaincre;đánh bại;verbe / động từ;1303
saison;mùa;nom / danh từ;1304
précieux;quý giá;adjectif / tính từ;1305
précis;chính xác;adjectif / tính từ;1306
consulter;để tham khảo;verbe / động từ;1307
haïr;ghét;verbe / động từ;1308
repousser;đẩy lùi;verbe / động từ;1309
paupière;mí mắt;nom / danh từ;1310
certainement;chắc chắn;adverbe / trạng từ;1311
tapis;thảm;nom / danh từ;1312
noire;đen;adjectif / tính từ;1313
chasse;săn bắn;nom / danh từ;1314
exécuter;thực thi;verbe / động từ;1315
nerveux;lo lắng;adjectif / tính từ;1316
commun;chung;adjectif / tính từ;1317
exposer;phơi ra;verbe / động từ;1318
clef;chìa khóa;nom / danh từ;1319
claire;thông thoáng;adjectif / tính từ;1320
voyager;để đi du lịch;verbe / động từ;1321
haute;cao;adjectif / tính từ;1322
renverser;đổ;verbe / động từ;1323
sueur;mồ hôi;nom / danh từ;1324
âgé;tuổi;adjectif / tính từ;1325
ferme;nông trại;nom / danh từ;1326
rassurer;để trấn an;verbe / động từ;1327
retomber;lùi lại;verbe / động từ;1328
décrire;mô tả;verbe / động từ;1329
mentir;nói dối;verbe / động từ;1330
instinct;bản năng;nom / danh từ;1331
armer;cánh tay;verbe / động từ;1332
paquet;đóng gói;nom / danh từ;1333
drame;kịch;nom / danh từ;1334
absolu;tuyệt đối;adjectif / tính từ;1335
savoir;biết;nom / danh từ;1336
mine;của tôi;nom / danh từ;1337
vision;tầm nhìn;nom / danh từ;1338
étaler;lây lan;verbe / động từ;1339
sentier;con đường;nom / danh từ;1340
demain;Ngày mai;nom / danh từ;1341
beau;xinh đẹp;adverbe / trạng từ;1342
blond;tóc vàng;adjectif / tính từ;1343
essuyer;để lau chùi;verbe / động từ;1344
planche;tấm ván;nom / danh từ;1345
précéder;đi trước;verbe / động từ;1346
dehors;ngoài;nom / danh từ;1347
salut;CHÀO;nom / danh từ;1348
tâche;vết bẩn;nom / danh từ;1349
désigner;nhà thiết kế;verbe / động từ;1350
fin;KẾT THÚC;adjectif / tính từ;1351
abri;nơi trú ẩn;nom / danh từ;1352
détacher;tách rời;verbe / động từ;1353
recueillir;sưu tầm;verbe / động từ;1354
rencontre;bắt gặp;nom / danh từ;1355
croiser;đi qua;verbe / động từ;1356
entretenir;duy trì;verbe / động từ;1357
rouge;màu đỏ;nom / danh từ;1358
professeur;giáo viên;nom / danh từ;1359
surveiller;để xem;verbe / động từ;1360
visible;dễ thấy;adjectif / tính từ;1361
perdu;mất;adjectif / tính từ;1362
réserver;để đặt chỗ;verbe / động từ;1363
bas;xuống;adverbe / trạng từ;1364
lien;liên kết;nom / danh từ;1365
queue;đuôi;nom / danh từ;1366
bande;ban nhạc;nom / danh từ;1367
confondre;để nhầm lẫn;verbe / động từ;1368
grain;ngũ cốc;nom / danh từ;1369
mensonge;nói dối;nom / danh từ;1370
dégager;thông thoáng;verbe / động từ;1371
